objectid,format,title,date,location,publisher,longitude,latitude,subject,editor,creator,note,call_number,provenance,binding_description,local_note
buch1220,record,Penelope.,1846,Leipzig,J.C. Hinrichs'sche Buchhandlung,,,poem; biographies; essays; novellas; stories,Theodor Hell,Theodor Hell; W. Alexis; W. von Lüdemann; A. von Sternberg; Julie von Großmann; Anton von Halem,"biographical essay about one of the authors (Freiherr von Ungern-Sternberg), ""Eine Wanderung an der Loire"" (72), ""Die Freimaurerinnen"" (127). Front image: Print of Cordelia, based on Shakespeare's King Lear",PT19.P4 v.35,,1/2 leather with paper covered boards,
buch1221,record,Penelope.,1847,Leipzig,J.C. Hinrichs'sche Buchhandlung,,,poetry; biography; novellas; essays; letters,Theodor Hell,W. Alexis; A. von Sternberg; Josef Rank; Wilhelm Gwinner; Anton Ritter von Perger; E. Silesius; Theodor Hell; Ida von Dürigsfeld,"biographical essay about Therese von Bacheracht, ""Die Juden"" (78), ""Der Flüchtling"" (172), ""Dissolving views oder Lichtbilder einer Sommerreise. Aus Reisebriefen"" (306). Front image: Print of a woman, Nenella",PT19.P4 v.36,"owner signature on inner cover reading ""Christiane Louise Auguste Hugenest""","embossed brown gloth with gold tooling on spine, gilt edges",
buch1222,record,Penelope.,1848,Leipzig,J.C. Hinrichs'sche Buchhandlung,,,essays; poem; novellas; stories; advertisement,Theodor Hell,L. Starklof; Therese; A. von Sternberg; Josef Rank; Antonin von Wien; Theodor Hell; Ritter P.,"""Ein paar Scenen vom Lande"" (215), ""Die Offizier-Marie. Ländliche Novelle aus Unterösterreich"" (382). Front image: Print of a man (caption illegible)",PT19.P4 v.37,"owner initial ""L"" on inner cover","embossed brown gloth with gold tooling on spine, gilt edges",
buch1223,record,Perlen. Taschenbuch romantischer Erzählungen.,1842,Leipzig,Ph. Reclam Jun.,,,novellas,Robert Heller,,"""Abenteuer einer Steppenreise"" (311). Front image: Print of a woman, Louise",PT19.P5 v.1,,"blue paper boards, gilt edges, in pink slipcase",
buch1224,record,Perlen. Taschenbuch romantischer Erzählungen.,1843,Leipzig,Ph. Reclam Jun.,,,stories,Robert Heller,,"""Das Erdbeben von Caraccas"" (1). Front image: Print of Maria, crown princess of Bayern",PT19.P5 v.2,,"partially rebound, 1/2 blue cloth with pink paper",
buch1225,record,Perlen. Taschenbuch romantischer Erzählungen.,1846,Leipzin and Nürnberg,Friedrich Korn'schen Buchhandlung,,,play; essays; stories,Robert Heller,Robert Heller; Demselben,. Front image: Print of a woman (caption illegible),PT19.P5 v.5,,"white paper boards, gilt edges, in white slipcase",
buch1226,record,Perlen. Taschenbuch romantischer Erzählungen.,1847,Nürnberg,Friedrich Korn'schen Buchhandlung,,,novellas,Robert Heller,Dr. L; Demselben,"""Die Erbtochter von Lauterbach"" (1). Front image: Print of a woman ""Aus der Campagna""",PT19.P5 v.6,"owner signature in inside cover reading ""Louise Hellnag""","1/4 brown cloth, white paper boards, gilt edges",
buch1227,record,Perlen. Taschenbuch romantischer Erzählungen.,1848,Nürnberg,Friedrich Korn'schen Buchhandlung,,,novellas,Robert Heller,Robert Heller; Demselben,"""Am Hofe von Ludwigsburg"" (145). Front image: Print of a woman with caption reading ""Die Muse der italienischen Poesie""",PT19.P5 v.7,,"white paper boards, gilt edges, in white slipcase",
buch1228,record,Perlen. Taschenbuch romantischer Erzählungen.,1851,Nürnberg,Friedrich Korn'schen Buchhandlung,,,novellas; poetry,Ludwig Bechstein,,"""Die Tochter des Geheimnisses"" (1), ""Albumblätter für edle Frauen"" (275), ""Die Kinder der Zeit"" (282). Front image: Print of a man and a woman holding fruit",PT19.P5 v.8,,"pink paper boards, gilt edges, in faded pink slipcase",
buch1229,record,Persephone.,1806,Frankfurt am Main,J.C.B. Mohr (in commission),,,poetry; songs; legends,Albert Ludewig Grimm; Albert Ludewig Danquard,A.L. Danquard; Carl Geib; Carl Grimm; A.L. Grimm; Hamm; W. Link; J.H. Stilling,"""Die Jungfrau"" (54), ""Das Mädchen am Bache"" (107), ""Museum Napoleon"" (23), ""Einem Frauenzimmer ins Stammbuch"" (56), ""Einem jungen Frauenzimmer ins Stammbuch"" (101), ""Lied auf einem hohen Berge"" (120).",PT19.P505,"owner signature and notes on inside (illegible), laid in ink drawing (63)","orange paper wrap, rebound in 1/2 beige cloth with black marbled paper covering boards",
buch1230,record,Phantasiegemälde. Taschenbuch romantischer Erzählungen.,1847,Leipzig,Philipp Reclam Jun.,,,novellas,C. Herloßsohn,,"""Die Weihnachtsbescheerung"" (199). Front image: Print of a woman, Friederike",PT19.P53,,"1/2 leather with tan speckled boards, red-stained edges",
buch1231,record,Poetische Blumenlese.,1782,Nürnberg,E.C. Grattenauer,,,poetry; fables; songs; musical scores; psalms; stories,,Alxinger; P. Anton; Blumauer; Degen; Dormar; Hänlein; Oeking; Oye; J.F. Xatschky; Joseph von Sezer; Franz Thomas von Schönfeld; Charlotte Seidl; C.H. Seidel; Stephanie; Tanner; Turner; Joseph Karl von Mohrenfels Winkler; F. Zehelein,"""Auf ein geschminktes Frauenzimmer"" (61), ""Gute Nacht an mein Mädchen"" (83), ""Das Glück der Ehe"" (120), ""Das Erwachen des Geistes"" (125), ""Lied eines Mädchens"" (159), ""Auf die Wiege eines lieben Mädchens"" (167), ""Der Geist der großmüthigen Verzeihung"" (186). Front image: Silhouette of Friederich Schmit",PT19.P69,owner signature on inside cover (illegible),"beige cloth covering boards, embossed design, gilt edges",
buch1232,record,Poetisches Taschenbuch,1806,Berlin,Johann Friedrich Unger,,,calendar; poetry; songs; musical scores; travel letters,Friedrich Schlegel,Dorothea Schlegel; Novalis; Georg Anton von Hardenberg; Wilhelm von Schütz,"calendar with moon data and important catholic holidays, ""Bild des menschlichen Lebens"" (148), travel letters (257).",PT19.P72,"page of notes at back (illegible), train ticket in Dutch (35)","shell marbled paper covering boards, gold tooling",
buch1233,record,Politisches Taschenbuch,1830,Hamburg,Hoffmann und Campe,,,essays,"Wit, gennant von Dörring","Wit, gennant von Dörring",series of essays on diplomacy.,PT19.P75,owner signature on inside cover (illegible),"illustrated tan paper covering boards, green-stained edges, in yellow slipcase",
buch1234,record,Polyanthea.,1807,Münster,Peter Waldeck,,,calendar; essays; sheet music; poetry; songs; stories,Karl Reinhard,Karl von Villers; Haug; Overbeck; Conz; K.W. Justi; Karl Reinhard; Philippine Engelhard; Lappe; Julius Grafen von Soden; Klamer Schmidt; A.L. Karschinn; G.W.C. Starke; Schink; Philipp Melanchthon; Münchhausen; Kästner,"calendar with moon data, royal genealogy, ""Sur la manière essentiellement différente dont les Poètes français et les allemans traitent l'Amour"" (3), ""Brautgeschenk"" (60). Front image: Print of Gotth. Wilh. Chr. Starke",PT19.P77,writing in pencil on inside cover (illegible),"red paper boards, gilt edges, kept in University box/case",
buch1235,record,Pomona für Deutschlands Töchter,1783,Speier,Enderesische Schriften,,,"letters; essays (political, cultural); stories; poetry; songs; sheet music",Sophie La Roche,Sophie La Roche; Hutten,"""Kenntniß von gelehrten Wissenschaften für das schöne Geschlecht"" (25), ""Dichtkunst, Mythologie und Geschichte der Lehrgedichte"" (26), ""Ueber das Tanzen"" (184), ""Ueber die Moden"" (203), ""Antwort auf Fragen nach meinem Zimmer."" (227), political letters.",PT19.P79,writing in pencil on last page (illegible),"1/2 leather, marbled paper covering boards","split into four parts (January, February, March, April)"
buch1236,record,Pomona für Deutschlands Töchter,1783,Speier,Enderesische Schriften,,,"letters; essays (political, cultural); poetry; songs; sheet music; stories",Sophie La Roche,Sophie La Roche; Hutten,"""Schreiben aus Neapel vom Jahr 1782."" (548), ""Gefühl eines Teutschen in Neapel, am Galafest, auf Carlstag."" (563), ""Gedanken einer Engländerin in dem Kaisersaal des Kapitols zu Rom."" (with english translation, 583), ""Hofnung auf den Geist meiner Leserinnen."" (598), ""Die glückliche Reise"" (665).",PT19.P79,"owner signature reading ""J. Widmann"" on inner cover","1/2 leather, tan paper covering boards, speckled edges","split into four parts (May, June, July, August), pagenation continues from previous book"
buch1237,record,Pomona für Deutschlands Töchter,1783,Speier,Enderesische Schriften,,,"letters; essays (cultural, philosophical); stories; poetry; sheet music; advertisement",Sophie La Roche,Sophie La Roche; Hutten,"""Ueber den Geist der Ordnung"" (1121), interactive letters/essays between readers and staff.",PT19.P79,ink drawing on inside of back cover,"1/2 leather, tan paper covering boards, speckled edges","split into four parts (September, October, November, December), pagenation continues from previous book"
buch1238,record,Pomona für Deutschlands Töchter,1784,Speier,Enderesische Schriften,,,"letters; essays (cultural, philosophical); stories; poetry; advertisements",Sophie La Roche,Sophie La Roche; Joseph von Retzer; Esther Chapone,"""Auszüge aus der Schrift eines französischen Frauenzimmers."" (123), ""Gedicht von einem Frauenzimmer"" (194), ""Wieder Fragen und Wünsche, weil ich sie gern beantwortete. Was ist Politik, und dient sie auch für uns Frauenzimmer?"" (203), ""Freunden einer Freundin der Pomona."" (286), ""Von einem englischen Buch"" (340), interactive essays between readers and staff.",PT19.P79 v.4,,"1/2 black cloth, marbled paper covering boards, untrimmed edges","split into four parts (January, February, March, April)"
